"FOLIO","TIPO SERVICIO","ESTATUS","ZONA","FECHA SERVICIO","OPERADOR","TECNICO","COMPAÑIA","TIENDA","MARCA","MODELO","NUMERO DE SERIE","COMENTARIOS","COMENTARIOS","COMENTARIOS"
"202136","Icon","Nueva","Foraneo","2020-03-10","jessica","Monterrey - Cesar Rodriguez","liverpool","monterrey cumbres - 113","proform","24850","","","",""
"202135","Icon","Nueva","Local","2020-03-10","jessica","DAVID.","liverpool ventas por internet","liverpool ventas por internet","nordic track","NTEL05917","","","CONFIRMADO / LLAMAR 1HR ANTES DE IR / ENTRE 10 Y 5",""
"202134","Icon","Nueva","Foraneo","2020-03-10","jessica","TolucaJuanCarlos","liverpool","metepec - 74","proform","otro","","","PFTL39519",""
"202133","Icon","Nueva","Local","2020-03-10","jessica","VICTOR","liverpool ventas por telefono","liverpool ventas por telefono","proform","otro","","","PFEL62919/ ENTRE 10 Y 5 / CONFIRMADO / LLAMAR 1HR ANTES DE IR",""
"202132","Icon","Nueva","Local","2020-03-10","jessica","JUAN.GONZALEZ","fabricas de francia","parque las antenas - 456","golds gym","ggsy29013","","","llamar 1 hora antes de llegar",""
"202131","Icon","Nueva","Local","2020-03-17","jessica","VICTOR","fabricas de francia","parque las antenas - 456","proform","PFTL49616-MX","","10/03/2020","llamar 1 hora antes de llegar",""
"202130","Icon","Nueva","Local","2020-03-10","jessica","RAMIRO","liverpool ventas por internet","liverpool ventas por internet","proform","otro","","","CONFIRMADO / LLAMAR 1HR ANTES DE IR / ENTRE 10 Y 5",""
"202129","Icon","Nueva","Local","2020-03-10","jessica","rojasoscar","liverpool ventas por internet","liverpool ventas por internet","nordic track","25049","","","CONFIRMADO / LLAMAR 1HR ANTES DE IR / ENTRE 10 Y 5",""
"202128","Icon","Nueva","Local","2020-03-10","jessica","GERONIMO","liverpool ventas por internet","liverpool ventas por internet","nordic track","NTEL05917","","10/03/2020","llamar 1 hora antes de llegar",""
"202127","eComerce","Terminada","Local","2020-03-07","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348461877 | 6 de marzo de 2020 21:44 hs. |","Lubricante Para Caminadoras Lubrigym 1 Pieza 385 Ml  $ 210 + $45 DE ENVÍOS",""
"202126","eComerce","Terminada","Local","2020-03-07","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348278404 | 6 de marzo de 2020 17:34 hs.","Lubricante Para Caminadoras Lubrigym 3pack 385 Ml C/u $ 630",""
"202125","Icon","Nueva","Local","2020-03-10","susana","VICTOR","liverpool","tezontle - 87","nordic track","25027","","","",""
"202124","Icon","Nueva","Local","2020-03-09","susana","mauricioreyes","liverpool","tezontle - 87","proform","PFTL49616-MX","","","confirmado entre  10 y 2 llamar  1hr antes de ir",""
"202123","Icon","Nueva","Local","2020-03-10","susana","Fernando_Ramirez","liverpool","tezontle - 87","proform","PFTL49616-MX","","","llamar 1 hora antes de llegar",""
"202122","Tecnoservicio","Nueva","Local","2020-03-10","jessica","VICENTE","otro","otro","proform","otro","pftl91105.0","","rev $450/ llamar 1hr antes de ir / entre  10 y 4 / confirmado",""
"202121","Icon","Terminada","Local","2020-03-07","cristina","tecnico_ausente","otro","otro","otro","otro","","","VENTA DE  LUBRICANTE $210",""
"202120","Tecnoservicio","Nueva","Local","2020-03-10","jessica","VICENTE","costco","costco","proform","PFTL13115","","por internet","confirmado / llamar 1hr antes de ir / entre 10 y 5 / armado $750",""
"202119","Icon","Nueva","Foraneo","2020-03-10","jessica","Oaxaca - Andrea Silva","marti","oaxaca - 4251","proform","otro","","","PFTL59117",""
"202118","Icon","Nueva","Foraneo","2020-03-10","jessica","Oaxaca - Andrea Silva","marti","oaxaca - 4251","proform","otro","","","PFTL79117",""
"202117","Icon","Nueva","Foraneo","2020-03-13","victor","ESPERA_DE_PARTES","sears","sears","proform","PFTL34616","KK330C0215001","VERSION 2","",""
"202116","Icon","Nueva","Foraneo","2020-03-09","victor","mazatlan xavier gutierrez","liverpool","liverpool","proform","PFTL49616-MX","JJ520C0004772","VERSION 0","",""
"202115","Icon","Nueva","Local","2020-03-11","jessica.yanez","VICTOR","sears","villacoapa - 107","proform","PFTL80916","","","",""
"202114","Icon","Nueva","Local","2020-03-09","susana","ABRAHAM","liverpool","coapa - 6","weslo","WLTL29816","","","confirmado entre  10 y  5 llamar  1hr antes de ir",""
"202113","Icon","Nueva","Foraneo","2020-03-11","jessica.yanez","Puebla - Jose Luis Cruz","liverpool","puebla - 72","golds gym","ggsy29013","","","",""
"202112","Icon","Nueva","Foraneo","2020-03-10","jessica.yanez","Xalapa-Isau Marin","liverpool","xalapa - 82","proform","otro","","PFEL62919","",""
"202111","Tecnoservicio","Nueva","Local","2020-03-10","Yuridia.Rivas","JAVIER","otro","otro","nordic track","","","","se apaga/ revision $450/llamar 1 hora antes de llegar",""
"202110","Icon","Nueva","Local","2020-03-10","jessica","ISMAEL AMBROSIO","marti","texcoco - 4283","proform","otro","","","PFTL79117/ llama 1 hora antes de llegar",""
"202109","Icon","Nueva","Foraneo","2020-03-10","jessica","Merida-Gabriel Hernandez","sears","merida centro  - 311","proform","otro","","","PFTL50517",""
"202108","Icon","Nueva","Foraneo","2020-03-10","jessica","Merida-Gabriel Hernandez","sears","merida centro  - 311","proform","PFTL60916","","","",""
"202107","Icon","Nueva","Foraneo","2020-03-10","jessica","Merida-Gabriel Hernandez","sears","merida centro  - 311","proform","PFTL34616","","","",""
"202106","Icon","Nueva","Foraneo","2020-03-10","Yuridia.Rivas","Leon Guanajuato - Julio","liverpool","leon sur - 166","proform","PFTL49616-MX","","","",""
"202105","Icon","Nueva","Foraneo","2020-03-10","jessica","amado","sears","pachuca plaza q  - 233","proform","","","","PFTL13118",""
"202104","Icon","Nueva","Foraneo","2020-03-10","jessica","Durango - Carlos Salinas","liverpool","durango - 89","nordic track","otro","","","24035",""
"202103","Icon","Nueva","Foraneo","2020-03-10","jessica","Villahermosa - Hector Ramirez","liverpool","villahermosa - 21","nordic track","otro","","","NTEX03917",""
"202102","Icon","Nueva","Foraneo","2020-03-10","jessica","Chetumal- Javier Lazcano","liverpool","chetumal - 79","weslo","wltl39810","","","",""
"202101","Icon","Nueva","Foraneo","2020-03-10","cristina","Monterrey - Cesar Rodriguez","liverpool","monterrey la fe - 189","golds gym","ggsy29013","","","",""
