"321041","2/8/2019 14:26:48.332517+00","Equipo armado correctamente modelo PFEL06915.2; serie MM421W0200041. Favor de tramitar pago correspondiente","135926","42"
"321040","2/8/2019 14:11:17.313795+00","MM610C0300981.    PFTL49616. 3
Armado de caminadora funciona correctamente.","134977","240"
"321039","2/8/2019 14:07:00.420257+00","MM910C0801380.    25027.8
Armado de caminadora funciona correctamente.","135784","240"
"321038","2/8/2019 14:03:42.279836+00","Equipo instalado y funcionando
Pftl3115. 4
KK430C0402776
Atendio María Morales ","135803","242"
"321037","2/8/2019 14:02:49.106459+00","ok depositados 900","135788","4"
"321036","2/8/2019 13:59:27.340575+00","ok depositados 3250","135893","4"
"321035","2/8/2019 13:55:19.027559+00","Le faltó pieza no. De parte 97","135931","49"
"321034","2/8/2019 13:33:29.465029+00","Se cambió banda de tensión, motor de resistencia no funcionó, probablemente el eliminador que tenía dañó al monitor,cotizar monitor y checar con monitor y nuevamente con motor de resistencia.sòlo se cobró la banda de tensión. $1450","135673","236"
"321033","2/8/2019 13:28:41.926083+00","Se cambió banda de piso y motor de velocidad,se dió mantenimiento,se deja funcionando.se cobró $6,330","135566","236"
"321032","2/8/2019 13:26:40.900417+00","Se cambió maza de pedales, cliente llevó al torno bases de pedales para sacar los tornillos degollados.","133830","236"
"321031","2/8/2019 12:58:44.384962+00","kk941r0103033","135859","48"
"321030","2/8/2019 12:58:14.617581+00","mm610c0500763","135858","48"
"321029","2/8/2019 12:29:21.327471+00","se coloco banda de piso se deja funcionando    $3550","135723","241"
"321028","2/8/2019 12:28:29.895396+00","se desarmo caminadora y se armo nuebamente    $1700","135428","241"
"321027","2/8/2019 12:26:56.488725+00","se cobro $850","135387","241"
"321026","2/8/2019 12:24:52.549668+00","se checo 23948.4 dañada banda de tencion se rrompio $650","135388","241"
"321025","2/8/2019 12:23:21.524669+00","se dio mtto. se deja funcionando se le comento que sus bandas ya yegaron al limete cotisarlas ","135387","241"
"321024","2/8/2019 12:20:36.694827+00","se coloco tc. se deja funcionando $3712. fue cheque","134989","241"
"321023","2/8/2019 12:18:35.107084+00","se colocaron piesas se deja funcionando","132984","241"
"321022","2/8/2019 12:16:17.867145+00","armado 24860.10  mm510c0a01051","135772","241"
"321021","2/8/2019 12:14:26.014477+00","armado wltl29816.10   mm110c0a01877","132539","241"
"321020","2/8/2019 04:39:57.634337+00","Se checo rechinidos, falla en el sistema de resistencia, se ajusto y lubrico, pieza que le falta tornillo y arandela, no. de parte 131 y 128 enviar para reparacion","135929","49"
"321019","2/8/2019 04:22:03.522147+00","Modelo 24035.6 serie MM120G0600879 armado se deja funcionando OK","135615","83"
"321018","2/8/2019 04:14:59.299192+00","se armo 1/8/19, PFTL60916.5/MM510C0500620","135931","49"
